MONTH_NO,MONTH,AIRLINE_NAME,PASSENGERS_TO_INDIA,PASSENGERS_FROM_INDIA,FREIGHT_TO_INDIA,FREIGHT_FROM_INDIA
8,AUG,SHANDONG AIRLINES,1055,1340,0,0
9,SEP,SHANDONG AIRLINES,1059,1184,0,0
10,OCT,SHANDONG AIRLINES,1327,1366,0,0
11,NOV,SHANDONG AIRLINES,1553,1274,0,0
12,DEC,SHANDONG AIRLINES,1525,1752,0,0
1,JAN,SILK AIR,18335,27700,107.2,177.7
2,FEB,SILK AIR,14035,18486,75.5,189.8
3,MAR,SILK AIR,15354,17560,109.4,226
4,APR,SILK AIR,17996,21890,95.4,236
5,MAY,SILK AIR,23169,23929,99.1,270.6
6,JUN,SILK AIR,20601,17617,88.3,286.2
7,JUL,SILK AIR,19460,20946,99.7,265.1
8,AUG,SILK AIR,16891,19269,102,252.9
9,SEP,SILK AIR,17149,19606,82,248.3
10,OCT,SILK AIR,18506,18773,99.8,282.5
11,NOV,SILK AIR,21729,20114,105.8,219.2
12,DEC,SILK AIR,30699,24935,105.8,219.2
1,JAN,SINGAPORE AIRLINES,53202,60684,3569.5,3155.2
2,FEB,SINGAPORE AIRLINES,42547,49950,3146.4,3070.8
3,MAR,SINGAPORE AIRLINES,48336,52243,3960.7,3582.2
4,APR,SINGAPORE AIRLINES,44703,52385,3286,3169.4
5,MAY,SINGAPORE AIRLINES,54355,59140,3516.9,3286.6
6,JUN,SINGAPORE AIRLINES,48614,44258,3387.3,3393.6
7,JUL,SINGAPORE AIRLINES,40878,43000,3591.6,3201.5
8,AUG,SINGAPORE AIRLINES,38064,40431,3339.1,3155.3
9,SEP,SINGAPORE AIRLINES,34669,35485,3035.3,3216.8
10,OCT,SINGAPORE AIRLINES,47603,42772,3243.7,3586.7
11,NOV,SINGAPORE AIRLINES,53735,48929,2947.9,3337.1
12,DEC,SINGAPORE AIRLINES,45063,37517,3088.4,3328.2
1,JAN,SPICEJET,59633,63133,76.1,402.6
2,FEB,SPICEJET,60194,66200,53.3,349.3
3,MAR,SPICEJET,71017,75178,94.2,439.9
4,APR,SPICEJET,66101,73478,121.3,393.2
5,MAY,SPICEJET,67278,75118,107.6,467.3
6,JUN,SPICEJET,69443,60019,58.6,413.6
7,JUL,SPICEJET,73407,65546,63.4,365.5
8,AUG,SPICEJET,59608,69842,63.6,407.8
9,SEP,SPICEJET,64386,72985,113.9,441.9
10,OCT,SPICEJET,66707,70135,61.4,571.6
11,NOV,SPICEJET,68427,68340,102.2,541.3
12,DEC,SPICEJET,77355,74065,88.5,493.3
1,JAN,SRILNKAN AIRWAYS,55999,56324,654.1,1244.4
2,FEB,SRILNKAN AIRWAYS,48461,52944,529,1204.8
3,MAR,SRILNKAN AIRWAYS,52801,55658,759.2,3615.7
4,APR,SRILNKAN AIRWAYS,44965,56792,706.9,1554
5,MAY,SRILNKAN AIRWAYS,61935,60008,677.8,1708.8
6,JUN,SRILNKAN AIRWAYS,62837,48453,775.1,1908
7,JUL,SRILNKAN AIRWAYS,59540,50134,943.9,1580.1
8,AUG,SRILNKAN AIRWAYS,60452,61591,880.9,1752.4
9,SEP,SRILNKAN AIRWAYS,52413,62382,799.3,1515.5
10,OCT,SRILNKAN AIRWAYS,59118,59824,953.4,1531.6
11,NOV,SRILNKAN AIRWAYS,63853,69155,688.1,1568.7
12,DEC,SRILNKAN AIRWAYS,70507,71440,766.6,1630.2
1,JAN,SWISS AIR,11864,13640,751.3,959.1
2,FEB,SWISS AIR,10461,11690,784.7,524
3,MAR,SWISS AIR,9377,13426,770.4,998.7
4,APR,SWISS AIR,7569,13578,774.3,983.3
5,MAY,SWISS AIR,9194,13729,767.2,970.8
6,JUN,SWISS AIR,13302,13454,747.8,958.1
7,JUL,SWISS AIR,12827,11853,702.8,939.8
8,AUG,SWISS AIR,9592,12714,701.6,899
9,SEP,SWISS AIR,10130,12447,732.3,928.9
10,OCT,SWISS AIR,12888,11257,831.3,1053.9
11,NOV,SWISS AIR,13188,12029,701.9,827.4
12,DEC,SWISS AIR,13571,12861,878.8,866.4
1,JAN,TAJIK AIR,437,316,0,4.5
2,FEB,TAJIK AIR,251,230,0,4.6
3,MAR,TAJIK AIR,160,205,0,4.6
4,APR,TAJIK AIR,337,305,0.2,9.8
5,MAY,TAJIK AIR,367,275,0,11.4
6,JUN,TAJIK AIR,445,210,0,9.5
7,JUL,TAJIK AIR,346,246,0,11.4
8,AUG,TAJIK AIR,363,504,0,7.4
9,SEP,TAJIK AIR,341,696,0,17
10,OCT,TAJIK AIR,278,291,0,7.1
11,NOV,TAJIK AIR,293,277,0,6.3
12,DEC,TAJIK AIR,373,336,0,20.5
1,JAN,THAI AIR ASIA,6189,6142,55.9,51.7
2,FEB,THAI AIR ASIA,5753,5540,38.6,77
3,MAR,THAI AIR ASIA,5931,5770,33.1,84.3
4,APR,THAI AIR ASIA,5760,6025,36.3,57.8
5,MAY,THAI AIR ASIA,8645,8874,51.5,68.4
6,JUN,THAI AIR ASIA,9464,8321,50.4,34.4
7,JUL,THAI AIR ASIA,10531,10371,41.8,53.5
8,AUG,THAI AIR ASIA,10281,10424,44.6,55.3
9,SEP,THAI AIR ASIA,10372,9931,59.9,58.3
10,OCT,THAI AIR ASIA,10438,10555,89.2,58.9
11,NOV,THAI AIR ASIA,10331,10206,94.7,64.5
12,DEC,THAI AIR ASIA,13011,13360,71.3,67.4
1,JAN,THAI AIRWAYS,58733,61687,2365.4,1507.9
2,FEB,THAI AIRWAYS,47181,54275,2099.6,1572.6
3,MAR,THAI AIRWAYS,52038,59851,2244.4,1672.7
4,APR,THAI AIRWAYS,47845,55702,2303.2,1225.3
5,MAY,THAI AIRWAYS,47462,60898,2006.7,1361.9
6,JUN,THAI AIRWAYS,56599,55618,2270.1,1488.1
7,JUL,THAI AIRWAYS,54317,55321,2394.1,1318
8,AUG,THAI AIRWAYS,51660,54718,2453.7,1395.4
9,SEP,THAI AIRWAYS,48364,48555,2320.2,1561.3
10,OCT,THAI AIRWAYS,50342,51102,2685.1,1561.6
11,NOV,THAI AIRWAYS,55900,54377,2509.1,1507.8
12,DEC,THAI AIRWAYS,59379,65506,2559.7,1854.9
1,JAN,THOMAS COOK AIRLINES U.K.,4837,4650,0.1,18.2
2,FEB,THOMAS COOK AIRLINES U.K.,4787,4861,0.1,28.1
3,MAR,THOMAS COOK AIRLINES U.K.,1900,4972,1.9,24.5
4,APR,THOMAS COOK AIRLINES U.K.,0,0,0,0
5,MAY,THOMAS COOK AIRLINES U.K.,0,0,0,0
6,JUN,THOMAS COOK AIRLINES U.K.,0,0,0,0
7,JUL,THOMAS COOK AIRLINES U.K.,0,0,0,0
8,AUG,THOMAS COOK AIRLINES U.K.,0,0,0,0
9,SEP,THOMAS COOK AIRLINES U.K.,0,0,0,0
10,OCT,THOMAS COOK AIRLINES U.K.,0,0,0,0
11,NOV,THOMAS COOK AIRLINES U.K.,0,0,0,0
12,DEC,THOMAS COOK AIRLINES U.K.,0,0,0,0
1,JAN,TIGER AIRWAYS,30866,30536,104.8,244.3
2,FEB,TIGER AIRWAYS,26657,27082,86.3,262.1
3,MAR,TIGER AIRWAYS,27554,54020,123,294.2
4,APR,TIGER AIRWAYS,28935,29029,108.8,310.5
5,MAY,TIGER AIRWAYS,31002,30479,88.9,263.6
6,JUN,TIGER AIRWAYS,21727,23420,75.8,203.2
7,JUL,TIGER AIRWAYS,21371,21846,68.7,223.2
8,AUG,TIGER AIRWAYS,21446,19734,69.4,229.4
9,SEP,TIGER AIRWAYS,19775,19597,62.1,217.7
10,OCT,TIGER AIRWAYS,22073,19001,76.7,238.7
11,NOV,TIGER AIRWAYS,24096,19605,72.3,213.3
12,DEC,TIGER AIRWAYS,23827,21735,82.2,262
1,JAN,TRANSAERO AIRLINES,0,0,0,0
2,FEB,TRANSAERO AIRLINES,0,0,0,0
3,MAR,TRANSAERO AIRLINES,0,0,0,0
4,APR,TRANSAERO AIRLINES,0,0,0,0
5,MAY,TRANSAERO AIRLINES,0,0,0,0
6,JUN,TRANSAERO AIRLINES,0,0,0,0
7,JUL,TRANSAERO AIRLINES,0,0,0,0
8,AUG,TRANSAERO AIRLINES,0,0,0,0
9,SEP,TRANSAERO AIRLINES,0,0,0,0
10,OCT,TRANSAERO AIRLINES,0,0,0,0
11,NOV,TRANSAERO AIRLINES,0,0,0,0
12,DEC,TRANSAERO AIRLINES,0,0,0,0
1,JAN,TURKISH AIRLINES,17432,17892,725.5,877
2,FEB,TURKISH AIRLINES,17548,17913,1883.8,2417
3,MAR,TURKISH AIRLINES,16647,20092,1027,1260.9
4,APR,TURKISH AIRLINES,13067,18350,805,1158.3
5,MAY,TURKISH AIRLINES,16374,21523,919.9,1261.6
6,JUN,TURKISH AIRLINES,21371,19649,907.8,1231.7
7,JUL,TURKISH AIRLINES,20691,17882,520,644.7
8,AUG,TURKISH AIRLINES,19000,21870,439.4,564.6
9,SEP,TURKISH AIRLINES,16811,19788,771.7,993.5
10,OCT,TURKISH AIRLINES,21897,17853,1025.5,1180.7
11,NOV,TURKISH AIRLINES,22026,18140,966.8,1099.8
12,DEC,TURKISH AIRLINES,23420,18492,999.9,1188.8
1,JAN,TURKMENISTAN AIRLINES,3407,4688,0,14.5
2,FEB,TURKMENISTAN AIRLINES,4694,3014,0,21.1
3,MAR,TURKMENISTAN AIRLINES,5109,4245,0,15.3
4,APR,TURKMENISTAN AIRLINES,2629,5343,0,9.9
5,MAY,TURKMENISTAN AIRLINES,2144,3413,0,16.1
6,JUN,TURKMENISTAN AIRLINES,1701,2148,0,13.2
7,JUL,TURKMENISTAN AIRLINES,3902,2149,0,10.4
8,AUG,TURKMENISTAN AIRLINES,4535,3063,4.9,1.6
9,SEP,TURKMENISTAN AIRLINES,1705,2534,0,14.8
10,OCT,TURKMENISTAN AIRLINES,4009,2552,0,26.1
11,NOV,TURKMENISTAN AIRLINES,3051,3376,0,13.8
12,DEC,TURKMENISTAN AIRLINES,3925,3287,0,23.2
1,JAN,UNITED AIRLINES,13911,14300,195.5,285.5
2,FEB,UNITED AIRLINES,12688,12725,177.2,350.3
3,MAR,UNITED AIRLINES,13867,14523,239.8,286
4,APR,UNITED AIRLINES,12119,14661,204,326.8
5,MAY,UNITED AIRLINES,13722,14472,171.9,299.5
6,JUN,UNITED AIRLINES,14090,14573,139,245.7
7,JUL,UNITED AIRLINES,7339,7931,62.1,93.8
8,AUG,UNITED AIRLINES,13459,15804,187.2,417.6
9,SEP,UNITED AIRLINES,13363,14573,160.4,336.9
10,OCT,UNITED AIRLINES,13763,14434,232.1,358
11,NOV,UNITED AIRLINES,14708,13605,199.1,304.1
12,DEC,UNITED AIRLINES,14512,14517,215.3,272.9
1,JAN,UNITED AIRLINES BANGLADESH LTD.,575,1727,0,0
2,FEB,UNITED AIRLINES BANGLADESH LTD.,0,0,0,0
3,MAR,UNITED AIRLINES BANGLADESH LTD.,0,0,0,0
4,APR,UNITED AIRLINES BANGLADESH LTD.,0,0,0,0
5,MAY,UNITED AIRLINES BANGLADESH LTD.,0,0,0,0
6,JUN,UNITED AIRLINES BANGLADESH LTD.,0,0,0,0
7,JUL,UNITED AIRLINES BANGLADESH LTD.,0,0,0,0
8,AUG,UNITED AIRLINES BANGLADESH LTD.,0,0,0,0
9,SEP,UNITED AIRLINES BANGLADESH LTD.,0,0,0,0
10,OCT,UNITED AIRLINES BANGLADESH LTD.,0,0,0,0
11,NOV,UNITED AIRLINES BANGLADESH LTD.,0,0,0,0
12,DEC,UNITED AIRLINES BANGLADESH LTD.,0,0,0,0
1,JAN,UNITED PARCEL SERVICES,0,0,566.1,334.3
2,FEB,UNITED PARCEL SERVICES,0,0,386.4,323.6
3,MAR,UNITED PARCEL SERVICES,0,0,407.1,388.6
4,APR,UNITED PARCEL SERVICES,0,0,329.3,377.9
5,MAY,UNITED PARCEL SERVICES,0,0,418.5,409.1
6,JUN,UNITED PARCEL SERVICES,0,0,359.8,415.6
7,JUL,UNITED PARCEL SERVICES,0,0,433.1,360.5
8,AUG,UNITED PARCEL SERVICES,0,0,399.4,331.4
9,SEP,UNITED PARCEL SERVICES,0,0,405.4,364.2
10,OCT,UNITED PARCEL SERVICES,0,0,459.1,362.1
11,NOV,UNITED PARCEL SERVICES,0,0,349.9,279.1
12,DEC,UNITED PARCEL SERVICES,0,0,393.7,362.6
1,JAN,UZBEKISTAN AIRWAYS,3428,3962,274.2,551
2,FEB,UZBEKISTAN AIRWAYS,3660,3589,251.1,552.5
3,MAR,UZBEKISTAN AIRWAYS,4496,4971,336.1,820.3
4,APR,UZBEKISTAN AIRWAYS,3834,4990,270,824.5
5,MAY,UZBEKISTAN AIRWAYS,4098,4831,311.6,662.9
6,JUN,UZBEKISTAN AIRWAYS,3615,3354,412.5,635.1
7,JUL,UZBEKISTAN AIRWAYS,5738,4172,452.7,548.9
8,AUG,UZBEKISTAN AIRWAYS,4416,4513,345.1,602.6
9,SEP,UZBEKISTAN AIRWAYS,3653,4616,320.2,558.4
10,OCT,UZBEKISTAN AIRWAYS,4742,4087,518.9,390.5
11,NOV,UZBEKISTAN AIRWAYS,4814,4273,266.7,500.6
12,DEC,UZBEKISTAN AIRWAYS,4472,3434,227.3,438.7
1,JAN,VIRGIN ATLANTIC AIRLINES,5753,7075,256.9,390.4
2,FEB,VIRGIN ATLANTIC AIRLINES,7082,6369,230,417.3
3,MAR,VIRGIN ATLANTIC AIRLINES,7499,7640,206.6,410.3
4,APR,VIRGIN ATLANTIC AIRLINES,5009,7532,206.6,410.3
5,MAY,VIRGIN ATLANTIC AIRLINES,3659,6696,195,479.8
6,JUN,VIRGIN ATLANTIC AIRLINES,6503,5932,225.8,453.2
7,JUL,VIRGIN ATLANTIC AIRLINES,7792,6407,207.6,446.4
8,AUG,VIRGIN ATLANTIC AIRLINES,6555,7666,236.7,435.7
9,SEP,VIRGIN ATLANTIC AIRLINES,6389,7120,236.7,428.5
10,OCT,VIRGIN ATLANTIC AIRLINES,7695,5503,221.5,544.1
11,NOV,VIRGIN ATLANTIC AIRLINES,,6696,203.7,409.8
12,DEC,VIRGIN ATLANTIC AIRLINES,7164,5832,207.5,394.1
1,JAN,YEMENIA AIRWAYS,59,217,0,3.3
2,FEB,YEMENIA AIRWAYS,0,0,0,0
3,MAR,YEMENIA AIRWAYS,0,0,0,0
4,APR,YEMENIA AIRWAYS,162,180,0,2.2
5,MAY,YEMENIA AIRWAYS,160,211,0,2.9
6,JUN,YEMENIA AIRWAYS,108,374,0,1.7
7,JUL,YEMENIA AIRWAYS,363,150,0,0.2
8,AUG,YEMENIA AIRWAYS,0,217,0,2.1
9,SEP,YEMENIA AIRWAYS,219,213,0,0.7
10,OCT,YEMENIA AIRWAYS,445,515,0,2.1
11,NOV,YEMENIA AIRWAYS,299,310,0,0.7
12,DEC,YEMENIA AIRWAYS,367,443,0,1.1
