year,name,n,
3,SILK AIR,15354,
4,SILK AIR,17996,
5,SILK AIR,23169,
6,SILK AIR,20601,
7,SILK AIR,19460,
8,SILK AIR,16891,
9,SILK AIR,17149,
10,SILK AIR,18506,
11,SILK AIR,21729,
12,SILK AIR,30699,
1,SINGAPORE AIRLINES,53202,
2,SINGAPORE AIRLINES,42547,
3,SINGAPORE AIRLINES,48336,
4,SINGAPORE AIRLINES,44703,
5,SINGAPORE AIRLINES,54355,
6,SINGAPORE AIRLINES,48614,
7,SINGAPORE AIRLINES,40878,
8,SINGAPORE AIRLINES,38064,
9,SINGAPORE AIRLINES,34669,
10,SINGAPORE AIRLINES,47603,
11,SINGAPORE AIRLINES,53735,
12,SINGAPORE AIRLINES,45063,
1,SPICEJET,59633,
2,SPICEJET,60194,
3,SPICEJET,71017,
4,SPICEJET,66101,
5,SPICEJET,67278,
6,SPICEJET,69443,
7,SPICEJET,73407,
8,SPICEJET,59608,
9,SPICEJET,64386,
10,SPICEJET,66707,
11,SPICEJET,68427,
12,SPICEJET,77355,
1,SRILNKAN AIRWAYS,55999,
2,SRILNKAN AIRWAYS,48461,
3,SRILNKAN AIRWAYS,52801,
4,SRILNKAN AIRWAYS,44965,
5,SRILNKAN AIRWAYS,61935,
6,SRILNKAN AIRWAYS,62837,
7,SRILNKAN AIRWAYS,59540,
8,SRILNKAN AIRWAYS,60452,
9,SRILNKAN AIRWAYS,52413,
10,SRILNKAN AIRWAYS,59118,
11,SRILNKAN AIRWAYS,63853,
12,SRILNKAN AIRWAYS,70507,
1,SWISS AIR,11864,
2,SWISS AIR,10461,
3,SWISS AIR,9377,
4,SWISS AIR,7569,
5,SWISS AIR,9194,
6,SWISS AIR,13302,
7,SWISS AIR,12827,
8,SWISS AIR,9592,
9,SWISS AIR,10130,
10,SWISS AIR,12888,
11,SWISS AIR,13188,
12,SWISS AIR,13571,
1,TAJIK AIR,437,
2,TAJIK AIR,251,
3,TAJIK AIR,160,
4,TAJIK AIR,337,
5,TAJIK AIR,367,
6,TAJIK AIR,445,
7,TAJIK AIR,346,
8,TAJIK AIR,363,
9,TAJIK AIR,341,
10,TAJIK AIR,278,
11,TAJIK AIR,293,
12,TAJIK AIR,373,
1,THAI AIR ASIA,6189,
2,THAI AIR ASIA,5753,
3,THAI AIR ASIA,5931,
4,THAI AIR ASIA,5760,
5,THAI AIR ASIA,8645,
6,THAI AIR ASIA,9464,
7,THAI AIR ASIA,10531,
8,THAI AIR ASIA,10281,
9,THAI AIR ASIA,10372,
10,THAI AIR ASIA,10438,
11,THAI AIR ASIA,10331,
12,THAI AIR ASIA,13011,
1,THAI AIRWAYS,58733,
2,THAI AIRWAYS,47181,
3,THAI AIRWAYS,52038,
4,THAI AIRWAYS,47845,
5,THAI AIRWAYS,47462,
6,THAI AIRWAYS,56599,
7,THAI AIRWAYS,54317,
8,THAI AIRWAYS,51660,
9,THAI AIRWAYS,48364,
10,THAI AIRWAYS,50342,
11,THAI AIRWAYS,55900,
12,THAI AIRWAYS,59379,
1,THOMAS COOK AIRLINES U.K.,4837,
2,THOMAS COOK AIRLINES U.K.,4787,
3,THOMAS COOK AIRLINES U.K.,1900,
4,THOMAS COOK AIRLINES U.K.,0,
5,THOMAS COOK AIRLINES U.K.,0,
6,THOMAS COOK AIRLINES U.K.,0,
7,THOMAS COOK AIRLINES U.K.,0,
8,THOMAS COOK AIRLINES U.K.,0,
9,THOMAS COOK AIRLINES U.K.,0,
10,THOMAS COOK AIRLINES U.K.,0,
11,THOMAS COOK AIRLINES U.K.,0,
12,THOMAS COOK AIRLINES U.K.,0,
1,TIGER AIRWAYS,30866,
2,TIGER AIRWAYS,26657,
3,TIGER AIRWAYS,27554,
4,TIGER AIRWAYS,28935,
5,TIGER AIRWAYS,31002,
6,TIGER AIRWAYS,21727,
7,TIGER AIRWAYS,21371,
8,TIGER AIRWAYS,21446,
9,TIGER AIRWAYS,19775,
10,TIGER AIRWAYS,22073,
11,TIGER AIRWAYS,24096,
12,TIGER AIRWAYS,23827,
1,TRANSAERO AIRLINES,0,
2,TRANSAERO AIRLINES,0,
3,TRANSAERO AIRLINES,0,
4,TRANSAERO AIRLINES,0,
5,TRANSAERO AIRLINES,0,
6,TRANSAERO AIRLINES,0,
7,TRANSAERO AIRLINES,0,
8,TRANSAERO AIRLINES,0,
9,TRANSAERO AIRLINES,0,
10,TRANSAERO AIRLINES,0,
11,TRANSAERO AIRLINES,0,
12,TRANSAERO AIRLINES,0,
1,TURKISH AIRLINES,17432,
2,TURKISH AIRLINES,17548,
3,TURKISH AIRLINES,16647,
4,TURKISH AIRLINES,13067,
5,TURKISH AIRLINES,16374,
6,TURKISH AIRLINES,21371,
7,TURKISH AIRLINES,20691,
8,TURKISH AIRLINES,19000,
9,TURKISH AIRLINES,16811,
10,TURKISH AIRLINES,21897,
11,TURKISH AIRLINES,22026,
12,TURKISH AIRLINES,23420,
1,TURKMENISTAN AIRLINES,3407,
2,TURKMENISTAN AIRLINES,4694,
3,TURKMENISTAN AIRLINES,5109,
4,TURKMENISTAN AIRLINES,2629,
5,TURKMENISTAN AIRLINES,2144,
6,TURKMENISTAN AIRLINES,1701,
7,TURKMENISTAN AIRLINES,3902,
8,TURKMENISTAN AIRLINES,4535,
9,TURKMENISTAN AIRLINES,1705,
10,TURKMENISTAN AIRLINES,4009,
11,TURKMENISTAN AIRLINES,3051,
12,TURKMENISTAN AIRLINES,3925,
1,UNITED AIRLINES,13911,
2,UNITED AIRLINES,12688,
3,UNITED AIRLINES,13867,
4,UNITED AIRLINES,12119,
5,UNITED AIRLINES,13722,
6,UNITED AIRLINES,14090,
7,UNITED AIRLINES,7339,
8,UNITED AIRLINES,13459,
9,UNITED AIRLINES,13363,
10,UNITED AIRLINES,13763,
11,UNITED AIRLINES,14708,
12,UNITED AIRLINES,14512,
1,UNITED AIRLINES BANGLADESH LTD.,575,
2,UNITED AIRLINES BANGLADESH LTD.,0,
3,UNITED AIRLINES BANGLADESH LTD.,0,
4,UNITED AIRLINES BANGLADESH LTD.,0,
5,UNITED AIRLINES BANGLADESH LTD.,0,
6,UNITED AIRLINES BANGLADESH LTD.,0,
7,UNITED AIRLINES BANGLADESH LTD.,0,
8,UNITED AIRLINES BANGLADESH LTD.,0,
9,UNITED AIRLINES BANGLADESH LTD.,0,
10,UNITED AIRLINES BANGLADESH LTD.,0,
11,UNITED AIRLINES BANGLADESH LTD.,0,
12,UNITED AIRLINES BANGLADESH LTD.,0,
1,UNITED PARCEL SERVICES,0,
2,UNITED PARCEL SERVICES,0,
3,UNITED PARCEL SERVICES,0,
4,UNITED PARCEL SERVICES,0,
5,UNITED PARCEL SERVICES,0,
6,UNITED PARCEL SERVICES,0,
7,UNITED PARCEL SERVICES,0,
8,UNITED PARCEL SERVICES,0,
9,UNITED PARCEL SERVICES,0,
10,UNITED PARCEL SERVICES,0,
11,UNITED PARCEL SERVICES,0,
12,UNITED PARCEL SERVICES,0,
1,UZBEKISTAN AIRWAYS,3428,
2,UZBEKISTAN AIRWAYS,3660,
3,UZBEKISTAN AIRWAYS,4496,
4,UZBEKISTAN AIRWAYS,3834,
5,UZBEKISTAN AIRWAYS,4098,
6,UZBEKISTAN AIRWAYS,3615,
7,UZBEKISTAN AIRWAYS,5738,
8,UZBEKISTAN AIRWAYS,4416,
9,UZBEKISTAN AIRWAYS,3653,
10,UZBEKISTAN AIRWAYS,4742,
11,UZBEKISTAN AIRWAYS,4814,
12,UZBEKISTAN AIRWAYS,4472,
1,VIRGIN ATLANTIC AIRLINES,5753,
2,VIRGIN ATLANTIC AIRLINES,7082,
3,VIRGIN ATLANTIC AIRLINES,7499,
4,VIRGIN ATLANTIC AIRLINES,5009,
5,VIRGIN ATLANTIC AIRLINES,3659,
6,VIRGIN ATLANTIC AIRLINES,6503,
7,VIRGIN ATLANTIC AIRLINES,7792,
8,VIRGIN ATLANTIC AIRLINES,6555,
9,VIRGIN ATLANTIC AIRLINES,6389,
10,VIRGIN ATLANTIC AIRLINES,7695,
11,VIRGIN ATLANTIC AIRLINES,,
12,VIRGIN ATLANTIC AIRLINES,7164,
1,YEMENIA AIRWAYS,59,
2,YEMENIA AIRWAYS,0,
3,YEMENIA AIRWAYS,0,
4,YEMENIA AIRWAYS,162,
5,YEMENIA AIRWAYS,160,
6,YEMENIA AIRWAYS,108,
7,YEMENIA AIRWAYS,363,
8,YEMENIA AIRWAYS,0,
9,YEMENIA AIRWAYS,219,
10,YEMENIA AIRWAYS,445,
11,YEMENIA AIRWAYS,299,
12,YEMENIA AIRWAYS,367,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
